Source,Target
M. Franciscvm Omichivm@PER,Ostereich@LOC
M. Franciscvm Omichivm@PER,Darinn@PER
M. Franciscvm Omichivm@PER,Wien@LOC
M. Franciscvm Omichivm@PER,S. G.@PER
Hans Dieterich@PER,Portugal@LOC
Hans Dieterich@PER,China@LOC
Hans Dieterich@PER,Hans Jsrael@PER
Hans Dieterich@PER,Holchteutsch@LOC
Hans Dieterich@PER,Jetzo@PER
Hans Dieterich@PER,Joan Hugo@PER
Hans Dieterich@PER,Jar@LOC
May@PER,Kayser Soleyman@PER
May@PER,Constantinopel@LOC
May@PER,Herberstain Neyperg@LOC
May@PER,Kärntn Römischer@LOC
May@PER,Benedikt Kuripešić@PER
Hans Strigel@PER,Stephan von Gumpenberg Friderich von Wolffskel vnnd Hans von Rameraw@PER
Hans Strigel@PER,Damascon@LOC
Hans Strigel@PER,Würtzburg@LOC
Hans Strigel@PER,Johann Eyselsaner@PER
Hans Strigel@PER,Sanct Paulus@PER
Conrad Löw@PER,China@LOC
Conrad Löw@PER,Noua Zemla@PER
Conrad Löw@PER,Obij@LOC
Conrad Löw@PER,Gantz@PER
Conrad Löw@PER,Jar@LOC
Conrad Löw@PER,Jnsel Bally@PER
Conrad Löw@PER,Hollandt@LOC
Conrad Löw@PER,Nägelein@PER
Peter Sauorgnan@PER,Herrn Herrn Ferdinanden Römischen@LOC
Peter Sauorgnan@PER,Hispanischer Sprach von Cortesio@PER
Peter Sauorgnan@PER,Tittel@PER
Peter Sauorgnan@PER,Darzů@PER
Peter Sauorgnan@PER,Carlos V.@PER
Peter Sauorgnan@PER,Xysto Betuleio@PER
Peter Sauorgnan@PER,Jar@LOC
Peter Sauorgnan@PER,Temixtitan@LOC
Peter Sauorgnan@PER,Ferdinandi Cortesii@PER
Peter Sauorgnan@PER,Andrea Diethero@PER
Peter Sauorgnan@PER,Carolvm@PER
Peter Sauorgnan@PER,Hochteütsche@LOC
Teutscher Meil@PER,Thomas Candisch@PER
Teutscher Meil@PER,Macuieguarai@PER
Teutscher Meil@PER,Walthern Ralegh@PER
Teutscher Meil@PER,Avgvstinvm Cassiodorvm Reinivm@PER
Teutscher Meil@PER,Lorentz Keymis@PER
Teutscher Meil@PER,Vnd@PER
Teutscher Meil@PER,Engellandt@LOC
Teutscher Meil@PER,Amapaia@LOC
Teutscher Meil@PER,Frantzen Prettie@PER
Teutscher Meil@PER,Quito@LOC
Teutscher Meil@PER,Guiana@LOC
Teutscher Meil@PER,Jar@LOC
Teutscher Meil@PER,Peru@LOC
Teutscher Meil@PER,Arromaia@LOC
Ioannis Benzonis von Meylandt@PER,Spanien@LOC
Ioannis Benzonis von Meylandt@PER,Dieterich@PER
Ioannis Benzonis von Meylandt@PER,Hessen@LOC
Franckfort am Mayn Anno@LOC,C. C. A. Vnd@PER
Franckfort am Mayn Anno@LOC,H. Oseam Halen@PER
Franckfort am Mayn Anno@LOC,Teutsch@LOC
Franckfort am Mayn Anno@LOC,Jacob le Moyne@PER
Franckfort am Mayn Anno@LOC,Floridam@LOC
Franckfort am Mayn Anno@LOC,H. Ribald@PER
Franckfort am Mayn Anno@LOC,Dieterich@PER
Franckfort am Mayn Anno@LOC,Americæ@LOC
Iesv@PER,Portugalesischer@PER
Iesv@PER,Ioannem Georgium@PER
Iesv@PER,Orient@LOC
Iesv@PER,Jar@LOC
Iesv@PER,Constantzischen Rath@PER
Iesv@PER,Kurtze Verzeichnuß Vnd@PER
Iesv@PER,Christi@LOC
